objectid,filename,format,title,tagline,specialization,website,bookstorestatus,latitude,longitude,location,date,designer,source,color,material,size,damage,note
bookmark001,bookmark001.jpg,image/jpeg,Paper Nautilus,"rare & recent books, art, oddments & ephemera",Used books; Rare books; New books; Ephemera,papernautilusbooks.com,Open,41.830011868112614,-71.38722063020916,"Providence, Rhode Island; Northeast; New England",,,Greta Skagerlind,White; Blue-green,Card stock,,Crease,
bookmark002,,,Symposium Books,"New & Used Books (buy and sell), Vinyl Records","Used Books, Vinyl records",symposiumbooks.com,Open,41.823186051511854,-71.41255562951784,"Providence, Rhode Island; Northeast; New England",,,Greta Skagerlind,,,,,
bookmark003,,,The Next Chapter,"Used, rare, remaindered & new books, records, art. An independent bookstore on Long Island.",,https://www.thenextchapterli.com/,Open,40.87566496846947,-73.42392384744824,"Huntington, New York; Northeast; Middle Atlantic",,,Erin Walden,,,,,
bookmark004,,,The Bookstore and Get Lit Wine Bar,serving the community since last Tuesday,New books; Children's books,https://www.bookstoreinlenox.com/,Open,42.3580616431343,-73.2839006407542,"Lenox, Massachusetts; Northeast; New England",,,Erin Walden,,,,,
bookmark005,,,Book Culture,,,bookculture.com,Open,40.75170575938626,-73.94106358099954,"Long Island City, New York; Northeast; Middle Atlantic",,,Erin Walden,,,,,
bookmark006,,,Greenlight Bookstore,,,greenlightbookstore.com,Open,40.68674451746746,-73.97444161293888,"Brooklyn, New York; Northeast; Middle Atlantic",,,Greta Skagerlind,,,,,
bookmark007,,,McNally Jackson: Brooklyn,Independent Booksellers,,mcnallyjackson.com,Open,40.71864407208706,-73.9619509178956,"Brooklyn, New York; Northeast; Middle Atlantic",,,Erin Walden,,,,,
bookmark008,,,Troubled Sleep,A wide variety of quality books at low prices. Best pices paid for used books!,Literary fiction; Used books,,Open,40.67842805801546,-73.97584348978636,"Brooklyn, New York; Northeast; Middle Atlantic",,,Erin Walden,,,,,
bookmark009,,,The Word Is Change,"Books, Used + New",,thewordischange.com,Open,40.685008376907604,-73.94440794661297,"Brooklyn, New York; Northeast; Middle Atlantic",,,Erin Walden,,,,,
bookmark010,,,Codex,"Specializing in art and literary fiction, both classic and contemporary. Best prices paid for used books",Art books; Literary fiction,codexbooks.info,Open,40.725855232728854,-73.99251486954478,"New York City, New York; Northeast; Middle Atlantic",,,Erin Walden,,,,,
bookmark011,,,McNally Jackson: Soho,Independent Booksellers,,mcnallyjackson.com,Open,40.72677519753011,-74.00057472752351,"New York City, New York; Northeast; Middle Atlantic",,,Erin Walden,,,,,
bookmark012,,,"Printed Matter, Inc.",,,printedmatter.org,Open,40.75141053422634,-74.00588398531646,"New York City, New York; Northeast; Middle Atlantic",,,Erin Walden,,,,,
bookmark013,,,Strand Book Store,18 miles of books,,strandbooks.com,Open,40.73347904342694,-73.99096394716247,"New York City, New York; Northeast; Middle Atlantic",,,Erin Walden,,,,,
bookmark014,,,Three Lives & Company,,,threelives.com,Open,40.734582010325035,-74.00156157913561,"New York City, New York; Northeast; Middle Atlantic",,,Greta Skagerlind,,,,,
bookmark015,,,Bookhaven,Rolf and Ricci Andeer,Used books,,Open,39.96734153919096,-75.17404695436764,"Philadelphia, Pennsylvania; Northeast; Middle Atlantic",,,Erin Walden,,,,,
